REEF species ID#,Common name,Scientific name
4,Grey Angelfish,Pomacanthus arcuatus
5,Queen Angelfish,Holacanthus ciliaris
9,Blackcap Basslet,Gramma melacara
10,Fairy Basslet,Gramma loreto
13,Arrow Blenny,Lucayablennius zingaro
26,Scrawled Cowfish,Acanthostracion quadricornis
35,Barred Cardinalfish,Apogon binotatus
36,Belted Cardinalfish,Apogon townsendi
39,Flamefish,Apogon maculatus
48,Bicolor Damselfish,Stegastes partitus
52,Sergeant-major,Abudefduf saxatilis
69,Orangespotted Filefish,Cantherines pullus
75,Peacock Flounder,Bothus lunatus
81,Goldspot Goby,Gnatholepis thompsoni
130,Hogfish,Lachnolaimus maximus
160,Saucereye Porgy,Calamus calamus
202,Reef Squirrelfish,Sargocentron coruscum
206,Ocean Surgeonfish,Acanthurus tractus
207,Black Triggerfish,Melichthys niger
311,Barred Blenny,Hypleurochilus bermudensis
683,Red Lionfish,Pterois volitans
